tau,ICR,on_chain_volume,write_reduction,anchored_flows,attacks_anchored,attacks_missed,benign_anchored,anchor_precision
0.004136871080845594,0.9979774215558569,0.524366364431986,0.47563363556801397,1981387,450491,913,1530896,0.22736143923423338
0.004136871546506882,0.9979774215558569,0.5243531321264235,0.47564686787357646,1981337,450491,913,1530846,0.2273671768104063
0.004136872012168169,0.9978201345136507,0.5199015198890815,0.4800984801109185,1964516,450420,984,1514096,0.2292778475716156
0.00456547224894166,0.9978201345136507,0.5198869643529628,0.4801130356470372,1964461,450420,984,1514041,0.22928426677852093
0.005,0.9978201345136507,0.5198832593074052,0.4801167406925948,1964447,450420,984,1514027,0.229285900815853
0.005545130930840969,0.9978201345136507,0.5198832593074052,0.4801167406925948,1964447,450420,984,1514027,0.229285900815853
0.005545131396502256,0.997784689546393,0.51870320229734,0.48129679770266,1959988,450404,1000,1509584,0.22979936611856808
0.005545131862163544,0.9974546082888056,0.5120505283527288,0.4879494716472712,1934850,450255,1149,1484595,0.23270796185750833
0.005686148069798946,0.997401440837919,0.5103986073263042,0.48960139267369585,1928608,450231,1173,1478377,0.23344868423235826
0.00573021499440074,0.997401440837919,0.5103972840957479,0.4896027159042521,1928603,450231,1173,1478372,0.23344928945977997
0.005730215460062027,0.9973992255274654,0.5102321449223277,0.4897678550776723,1927979,450230,1174,1477749,0.23352432780647506
0.005730215925723314,0.9972485844166201,0.5070418360512048,0.4929581639487952,1915924,450162,1242,1465762,0.23495817161849844
0.005861418787389994,0.997244153795713,0.5069142766255821,0.4930857233744179,1915442,450160,1244,1465282,0.23501625212353075
0.005861419253051281,0.9972375078643521,0.5068965453361284,0.4931034546638716,1915375,450157,1247,1465218,0.2350229067414997
0.005861419718712568,0.9971776944821047,0.5056929348221618,0.4943070651778382,1910827,450130,1274,1460697,0.2355681597549124
0.0059516518376767635,0.9971754791716512,0.5056714984871505,0.49432850151284946,1910746,450129,1275,1460617,0.23557762256207784
0.005992666818201542,0.9971754791716512,0.5056712338410393,0.4943287661589607,1910745,450129,1275,1460616,0.23557774585305732
0.006140320561826229,0.9971754791716512,0.505661441934923,0.494338558065077,1910708,450129,1275,1460579,0.23558230771002162
0.006173131987452507,0.9971754791716512,0.5056609126427005,0.4943390873572995,1910706,450129,1275,1460577,0.2355825543019177
0.006173132453113794,0.9970403452339811,0.5029789889512895,0.49702101104871055,1900572,450068,1336,1450504,0.23680660348568747
0.006173132918775082,0.9965042401042082,0.4928787701154201,0.50712122988458,1862407,449826,1578,1412581,0.24152937569500116
0.006246497388929129,0.9963270152679197,0.488942953148905,0.511057046851095,1847535,449746,1658,1397789,0.24343030037319996
0.006246497854590416,0.9963004315424764,0.48814054613959396,0.511859453860406,1844503,449734,1670,1394769,0.24382394607110966
0.006246498320251703,0.9954918432269099,0.4730647157661068,0.5269352842338932,1787537,449369,2035,1338168,0.25139004115719005
0.00627781031653285,0.9954674748119201,0.4727569323387227,0.5272430676612774,1786374,449358,2046,1337016,0.25154754827376574
0.0064343735575675964,0.9954674748119201,0.47275666769261143,0.5272433323073886,1786373,449358,2046,1337015,0.25154768908844904
0.006434374023228884,0.9952437284561059,0.4694705569292159,0.5305294430707841,1773956,449257,2147,1324699,0.25325148989039187
0.006434374488890171,0.9944971688332402,0.4579372794009259,0.5420627205990741,1730376,448920,2484,1281456,0.2594349436191903
0.0064972457475960255,0.9943465277223951,0.4553972060251451,0.5446027939748549,1720778,448852,2552,1271926,0.26084247939013633
0.006501737050712109,0.9943465277223951,0.45539694137903386,0.5446030586209661,1720777,448852,2552,1271925,0.26084263097426336
0.00654664495959878,0.9943465277223951,0.4553813272584701,0.5446186727415299,1720718,448852,2552,1271866,0.26085157474961035
0.006546645425260067,0.9943376664805806,0.4552749395217474,0.5447250604782525,1720316,448848,2556,1271468,0.26091020486933797
0.006566313561052084,0.9943221593074053,0.45504946103496213,0.5449505389650379,1719464,448841,2563,1270623,0.2610354156876794
0.006763000972568989,0.9943221593074053,0.4550491963888509,0.5449508036111491,1719463,448841,2563,1270622,0.2610355674998531
0.006900682579725981,0.9943221593074053,0.4550486670966284,0.5449513329033716,1719461,448841,2563,1270620,0.26103587112473037
0.007038363721221685,0.9943221593074053,0.45504840245051714,0.5449515975494829,1719460,448841,2563,1270619,0.26103602293743383
0.007274388335645199,0.9943221593074053,0.4550481378044059,0.5449518621955941,1719459,448841,2563,1270618,0.26103617475031393
0.007274388801306486,0.9942180397160858,0.4537018830364754,0.5462981169635246,1714372,448794,2610,1265578,0.2617833235727135
0.0072743892669677734,0.9939278340466633,0.44968773082103014,0.5503122691789699,1699204,448663,2741,1250541,0.2640430460380272
0.007398075424134731,0.9937904847985397,0.4474652327787498,0.5525347672212502,1690806,448601,2803,1242205,0.2653178424964189
0.007451084442436695,0.9937882694880861,0.4474588812720798,0.5525411187279202,1690782,448600,2804,1242182,0.26532101713881506
0.007663118652999401,0.9937882694880861,0.4474583519798573,0.5525416480201427,1690780,448600,2804,1242180,0.26532133098333316
0.007663119118660688,0.9936154752727047,0.4444921983649634,0.5555078016350365,1679572,448522,2882,1231050,0.267045413950697
0.007663119584321976,0.9931015232474679,0.4360483995394099,0.5639516004605901,1647666,448290,3114,1199376,0.27207577263838667
0.007678517140448093,0.9929087912380041,0.43311770850342357,0.5668822914965764,1636592,448203,3201,1188389,0.27386361414451493
0.007878689095377922,0.9929087912380041,0.4331166499189786,0.5668833500810214,1636588,448203,3201,1188385,0.2738642834971294
0.007878690026700497,0.9928777768916536,0.43255586480923913,0.5674441351907609,1634469,448189,3215,1186280,0.27421076814549555
0.007878690958023071,0.9925742793595095,0.42822122615306973,0.5717787738469302,1618090,448052,3352,1170038,0.27690177925826126
